6,,,#VALUE!,#VALUE!,116
88. (RB29),,,#VALUE!,#VALUE!,117
"Raheem Mostert, MIA",,,88,Raheem Mostert,118
$3 ,,,#VALUE!,#VALUE!,119
6,,,#VALUE!,#VALUE!,120
168. (TE20),,,#VALUE!,#VALUE!,121
"Cole Kmet, CHI",,,168,Cole Kmet,122
$0 ,,,#VALUE!,#VALUE!,123
7,,,#VALUE!,#VALUE!,124
248. (RB77),,,#VALUE!,#VALUE!,125
"Trey Sermon, IND",,,248,Trey Sermon,126
$0 ,,,#VALUE!,#VALUE!,127
14,,,#VALUE!,#VALUE!,128
9. (RB4),,,#VALUE!,#VALUE!,129
"Jonathan Taylor, IND",,,9,Jonathan Taylor,130
$51 ,,,#VALUE!,#VALUE!,131
14,,,#VALUE!,#VALUE!,132
89. (RB30),,,#VALUE!,#VALUE!,133
"Jaylen Warren, PIT",,,89,Jaylen Warren,134
$3 ,,,#VALUE!,#VALUE!,135
9,,,#VALUE!,#VALUE!,136
169. (DST1),,,#VALUE!,#VALUE!,137
"Browns D/ST, CLE",,,169,Browns D/ST,138
$0 ,,,#VALUE!,#VALUE!,139
10,,,#VALUE!,#VALUE!,140
249. (RB78),,,#VALUE!,#VALUE!,141
"Royce Freeman, DAL",,,249,Royce Freeman,142
$0 ,,,#VALUE!,#VALUE!,143
7,,,#VALUE!,#VALUE!,144
10. (RB5),,,#VALUE!,#VALUE!,145
"Saquon Barkley, PHI",,,10,Saquon Barkley,146
$50 ,,,#VALUE!,#VALUE!,147
5,,,#VALUE!,#VALUE!,148
90. (RB31),,,#VALUE!,#VALUE!,149
"Tyjae Spears, TEN",,,90,Tyjae Spears,150
$3 ,,,#VALUE!,#VALUE!,151
5,,,#VALUE!,#VALUE!,152
170. (DST2),,,#VALUE!,#VALUE!,153
"Cowboys D/ST, DAL",,,170,Cowboys D/ST,154
$0 ,,,#VALUE!,#VALUE!,155
7,,,#VALUE!,#VALUE!,156
250. (RB79),,,#VALUE!,#VALUE!,157
"D'Ernest Johnson, JAC",,,250,D'Ernest Johnson,158
$0 ,,,#VALUE!,#VALUE!,159
12,,,#VALUE!,#VALUE!,160
11. (WR6),,,#VALUE!,#VALUE!,161
"A.J. Brown, PHI",,,11,A.J. Brown,162
$48 ,,,#VALUE!,#VALUE!,163
5,,,#VALUE!,#VALUE!,164
91. (QB9),,,#VALUE!,#VALUE!,165
"Kyler Murray, ARI",,,91,Kyler Murray,166
$3 ,,,#VALUE!,#VALUE!,167
11,,,#VALUE!,#VALUE!,168
171. (DST3),,,#VALUE!,#VALUE!,169
"Jets D/ST, NYJ",,,171,Jets D/ST,170
$0 ,,,#VALUE!,#VALUE!,171
12,,,#VALUE!,#VALUE!,172
251. (RB80),,,#VALUE!,#VALUE!,173
"Trayveon Williams, CIN",,,251,Trayveon Williams,174
$0 ,,,#VALUE!,#VALUE!,175
12,,,#VALUE!,#VALUE!,176
12. (WR7),,,#VALUE!,#VALUE!,177
"Puka Nacua, LAR",,,12,Puka Nacua,178
$46 ,,,#VALUE!,#VALUE!,179
6,,,#VALUE!,#VALUE!,180
92. (QB10),,,#VALUE!,#VALUE!,181
"Jordan Love, GB",,,92,Jordan Love,182
$3 ,,,#VALUE!,#VALUE!,183
10,,,#VALUE!,#VALUE!,184
172. (DST4),,,#VALUE!,#VALUE!,185
"Ravens D/ST, BAL",,,172,Ravens D/ST,186
$0 ,,,#VALUE!,#VALUE!,187
14,,,#VALUE!,#VALUE!,188
252. (WR91),,,#VALUE!,#VALUE!,189
"Trey Palmer, TB",,,252,Trey Palmer,190
$0 ,,,#VALUE!,#VALUE!,191
11,,,#VALUE!,#VALUE!,192
13. (WR8),,,#VALUE!,#VALUE!,193
"Garrett Wilson, NYJ",,,13,Garrett Wilson,194
$45 ,,,#VALUE!,#VALUE!,195
12,,,#VALUE!,#VALUE!,196
93. (QB11),,,#VALUE!,#VALUE!,197
"Brock Purdy, SF",,,93,Brock Purdy,198
$3 ,,,#VALUE!,#VALUE!,199
9,,,#VALUE!,#VALUE!,200
173. (DST5),,,#VALUE!,#VALUE!,201
"49ers D/ST, SF",,,173,49ers D/ST,202
